country,year,dim1,catex_pct
Kyrgyzstan,2014,Urban,3.05
Kyrgyzstan,2013,Urban,2.77
Kyrgyzstan,2012,Urban,2.19
Kyrgyzstan,2011,Urban,3.35
Kyrgyzstan,2010,Urban,2.98
Kyrgyzstan,2009,Urban,2.87
Kyrgyzstan,2008,Urban,2.65
Kyrgyzstan,2007,Urban,2.24
Kyrgyzstan,2006,Urban,2.93
Kyrgyzstan,2005,Urban,2.92
Lao People's Democratic Republic,2007,Urban,3.33
Lao People's Democratic Republic,2002,Urban,2.67
Latvia,2009,Urban,15.16
Latvia,2008,Urban,12.63
Latvia,2007,Urban,15.93
Latvia,2005,Urban,12.78
Latvia,2004,Urban,13.07
Latvia,2003,Urban,9.96
Latvia,2002,Urban,9.63
Latvia,2000,Urban,12.18
Lesotho,2010,Urban,8.11
Lesotho,2002,Urban,1.8
Lithuania,2010,Urban,8.21
Lithuania,2008,Urban,13.77
Lithuania,2004,Urban,12.73
Lithuania,2003,Urban,12.71
Lithuania,2002,Urban,12.48
Lithuania,2001,Urban,11.9
Lithuania,2000,Urban,10.16
Lithuania,1999,Urban,8.01
Lithuania,1998,Urban,7.86
Luxembourg,2010,Urban,2.99
Madagascar,2010,Urban,1.78
Madagascar,2005,Urban,0.4
Madagascar,2001,Urban,1.14
Malawi,2016,Urban,2.55
Malawi,2010,Urban,2.59
Malawi,2004,Urban,3.3
Malawi,1997,Urban,6.45
Malaysia,2016,Urban,1.88
Malaysia,2004,Urban,0.88
Malaysia,1993,Urban,2.04
Maldives,2016,Urban,8.09
Maldives,2009,Urban,13.76
Maldives,2004,Urban,6.85
Mali,2016,Urban,6.96
Mali,2015,Urban,2.35
Mali,2014,Urban,1.96
Mali,2013,Urban,2.03
Mali,2011,Urban,3.02
Mali,2009,Urban,3.47
Mali,2001,Urban,2.88
Mali,2000,Urban,6.25
Mali,1994,Urban,8.06
Malta,2010,Urban,15.8
Mauritania,2014,Urban,6.92
Mauritania,2008,Urban,9.81
Mauritania,2004,Urban,9.78
Mauritius,2006,Urban,7.7
Mexico,2016,Urban,1.36
Mexico,2014,Urban,2.27
Mexico,2012,Urban,2.17
Mexico,2010,Urban,2.56
Mexico,2008,Urban,3.22
Mongolia,2014,Urban,1.25
Mongolia,2012,Urban,2.49
Mongolia,2011,Urban,1.7
