country,year,dim1,hale,le,hale_yield
Netherlands,2019,Both sexes,71.44,81.79,0.8734564127643966
Netherlands,2019,Male,71.35,80.4,0.8874378109452735
Netherlands,2019,Female,71.5,83.15,0.8598917618761274
Netherlands,2015,Both sexes,71.12,81.28,0.875
Netherlands,2015,Male,70.87,79.67,0.8895443705284298
Netherlands,2015,Female,71.33,82.82,0.8612653948321662
Netherlands,2010,Both sexes,70.9,80.68,0.8787803668815072
Netherlands,2010,Male,70.33,78.74,0.8931927863855728
Netherlands,2010,Female,71.39,82.5,0.8653333333333333
Netherlands,2000,Both sexes,68.77,78.01,0.8815536469683373
Netherlands,2000,Male,67.66,75.49,0.8962776526692278
Netherlands,2000,Female,69.75,80.39,0.8676452295061575
New Zealand,2019,Both sexes,70.24,81.96,0.8570034163006345
New Zealand,2019,Male,69.64,80.36,0.8666002986560478
New Zealand,2019,Female,70.82,83.52,0.8479406130268199
New Zealand,2015,Both sexes,69.89,81.31,0.8595498708645923
New Zealand,2015,Male,69.26,79.73,0.8686818010786405
New Zealand,2015,Female,70.52,82.85,0.8511768255884128
New Zealand,2010,Both sexes,69.78,80.94,0.8621200889547813
New Zealand,2010,Male,68.99,79.12,0.8719666329625884
New Zealand,2010,Female,70.57,82.71,0.8532221013178576
New Zealand,2000,Both sexes,67.8,78.57,0.8629247804505537
New Zealand,2000,Male,66.4,76.0,0.8736842105263158
New Zealand,2000,Female,69.16,81.06,0.853195164075993
Nicaragua,2019,Both sexes,65.46,75.04,0.8723347547974412
Nicaragua,2019,Male,63.66,72.07,0.8833078951019843
Nicaragua,2019,Female,67.21,77.93,0.86244065186706
Nicaragua,2015,Both sexes,65.16,74.62,0.8732243366389707
Nicaragua,2015,Male,63.45,71.83,0.8833356536266185
Nicaragua,2015,Female,66.82,77.32,0.8642007242628039
Nicaragua,2010,Both sexes,64.7,74.05,0.8737339635381499
Nicaragua,2010,Male,63.05,71.38,0.883300644438218
Nicaragua,2010,Female,66.32,76.66,0.8651187059744325
Nicaragua,2000,Both sexes,63.69,73.26,0.8693693693693693
Nicaragua,2000,Male,62.19,70.77,0.8787621873675286
Nicaragua,2000,Female,65.15,75.67,0.8609752874322718
Niger,2019,Both sexes,55.52,63.29,0.8772317901722232
Niger,2019,Male,55.28,62.06,0.8907508862391235
Niger,2019,Female,55.81,64.56,0.8644671623296158
Niger,2015,Both sexes,54.14,61.54,0.8797530061748456
Niger,2015,Male,53.84,60.28,0.8931652289316523
Niger,2015,Female,54.5,62.86,0.8670060451797645
Niger,2010,Both sexes,51.86,58.95,0.8797285835453774
Niger,2010,Male,51.56,57.77,0.8925047602561883
Niger,2010,Female,52.21,60.19,0.8674198371822562
Niger,2000,Both sexes,44.18,50.35,0.8774577954319761
Niger,2000,Male,44.2,49.73,0.8887995173939274
Niger,2000,Female,44.19,50.99,0.8666405177485781
Nigeria,2019,Both sexes,54.39,62.62,0.8685723411050783
Nigeria,2019,Male,53.91,61.2,0.8808823529411763
Nigeria,2019,Female,54.89,64.1,0.8563182527301093
Nigeria,2015,Both sexes,53.13,61.16,0.8687050359712231
Nigeria,2015,Male,52.49,59.59,0.8808524920288638
Nigeria,2015,Female,53.79,62.8,0.8565286624203822
Nigeria,2010,Both sexes,51.5,59.24,0.8693450371370696
Nigeria,2010,Male,50.95,57.75,0.8822510822510823
Nigeria,2010,Female,52.09,60.79,0.856884355979602
Nigeria,2000,Both sexes,46.46,53.63,0.8663061719187022
Nigeria,2000,Male,45.76,52.16,0.8773006134969326
Nigeria,2000,Female,47.19,55.17,0.8553561718325176
Norway,2019,Both sexes,71.36,82.62,0.8637133865892035
Norway,2019,Male,71.05,81.08,0.8762950172668968
Norway,2019,Female,71.64,84.13,0.8515392844407466
Norway,2015,Both sexes,71.23,82.01,0.8685526155346909
Norway,2015,Male,70.55,80.26,0.8790181908796411
Norway,2015,Female,71.86,83.71,0.8584398518695497
Norway,2010,Both sexes,70.18,80.87,0.8678125386422654
Norway,2010,Male,69.27,78.83,0.8787263732081695
Norway,2010,Female,71.03,82.85,0.8573325286662644
Norway,2000,Both sexes,68.43,78.53,0.8713867311855342
